season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2024,NBA,Patrick Baldwin Jr.,baldwpa01,21.0,WAS,SF,38,7.0,493.0,9.7,0.502,0.626,0.181,3.6,23.5,13.3,7.6,1.7,2.5,10.2,15.9,-0.3,0.5,0.2,0.019,-4.0,-0.6,-4.6,-0.3
2024,NBA,LaMelo Ball,ballla01,22.0,CHO,PG,22,22.0,711.0,20.8,0.561,0.466,0.246,4.4,13.7,8.9,43.1,2.8,0.5,15.0,34.3,0.6,0.5,1.1,0.074,3.8,-0.5,3.3,1.0
2024,NBA,Mo Bamba,bambamo01,25.0,PHI,C,57,17.0,740.0,15.4,0.575,0.323,0.253,11.3,24.5,17.8,7.6,1.5,7.4,15.1,15.1,0.6,1.3,2.0,0.128,-2.3,1.4,-1.0,0.2
2024,NBA,Paolo Banchero,banchpa01,21.0,ORL,PF,80,80.0,2799.0,17.3,0.546,0.249,0.397,3.4,20.0,11.6,25.2,1.3,1.6,13.0,29.7,1.3,4.0,5.3,0.09,1.3,0.0,1.3,2.3
2024,NBA,Desmond Bane,banede01,25.0,MEM,SG,42,42.0,1443.0,18.5,0.589,0.464,0.207,2.6,11.8,7.0,29.2,1.5,1.4,11.7,28.5,1.8,1.3,3.1,0.102,3.1,-0.3,2.8,1.7
2024,NBA,Dalano Banton,bantoda01,24.0,2TM,PG,54,9.0,1047.0,13.3,0.504,0.398,0.24,4.2,15.2,9.5,19.4,1.6,1.7,12.2,25.7,-0.4,0.9,0.5,0.024,-0.7,-0.6,-1.3,0.2
2024,NBA,Dalano Banton,bantoda01,24.0,BOS,PG,24,1.0,171.0,9.9,0.468,0.314,0.392,7.9,13.9,11.0,13.9,1.4,1.5,14.3,17.8,0.0,0.2,0.2,0.063,-4.7,0.6,-4.1,-0.1
2024,NBA,Dalano Banton,bantoda01,24.0,POR,PG,30,8.0,876.0,14.0,0.508,0.408,0.223,3.5,15.5,9.1,20.5,1.6,1.8,12.0,27.2,-0.4,0.7,0.3,0.016,0.1,-0.9,-0.8,0.3
2024,NBA,Dominick Barlow,barlodo01,20.0,SAS,PF,33,1.0,420.0,14.6,0.548,0.08,0.372,11.5,17.7,14.5,11.7,1.4,2.8,6.4,14.1,0.7,0.4,1.1,0.126,-1.7,0.0,-1.7,0.0
2024,NBA,Harrison Barnes,barneha02,31.0,SAC,PF,82,82.0,2381.0,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1
2024,NBA,Scottie Barnes,barnesc01,22.0,TOR,SG,60,60.0,2094.0,19.5,0.566,0.314,0.266,7.3,18.9,13.0,26.2,1.7,3.7,13.6,24.8,2.3,2.0,4.3,0.098,2.9,0.8,3.7,3.0
2024,NBA,RJ Barrett,barrerj01,23.0,2TM,SG,58,58.0,1838.0,16.4,0.58,0.284,0.331,3.1,16.0,9.5,16.7,0.8,1.1,11.1,26.5,1.6,1.2,2.9,0.075,0.7,-1.5,-0.8,0.6
2024,NBA,RJ Barrett,barrerj01,23.0,NYK,SG,26,26.0,766.0,14.3,0.536,0.335,0.32,2.8,13.5,8.1,12.8,0.8,1.1,9.6,27.6,0.4,0.7,1.1,0.07,-0.3,-1.7,-2.0,0.0
2024,NBA,RJ Barrett,barrerj01,23.0,TOR,SG,32,32.0,1072.0,17.8,0.615,0.244,0.339,3.4,17.8,10.5,19.5,0.9,1.1,12.3,25.7,1.2,0.5,1.7,0.078,1.5,-1.4,0.1,0.6
2024,NBA,Charles Bassey,bassech01,23.0,SAS,C,19,0.0,205.0,17.7,0.739,0.025,0.15,12.0,28.2,20.0,14.1,1.9,6.9,26.0,11.9,0.3,0.4,0.7,0.157,-1.8,3.1,1.3,0.2
2024,NBA,Emoni Bates,batesem01,20.0,CLE,SF,15,0.0,133.0,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10.0,0.4,1.4,13.6,19.5,-0.4,0.1,-0.3,-0.092,-6.2,-3.0,-9.2,-0.2
2024,NBA,Keita Bates-Diop,bateske01,28.0,2TM,SF,53,8.0,665.0,11.5,0.534,0.416,0.253,5.5,12.8,9.3,7.4,1.8,2.9,7.5,13.0,0.5,0.8,1.3,0.091,-1.5,0.4,-1.0,0.2
2024,NBA,Keita Bates-Diop,bateske01,28.0,PHO,SF,39,8.0,597.0,11.3,0.525,0.427,0.24,6.0,12.8,9.6,7.4,1.8,3.0,7.3,13.0,0.4,0.7,1.1,0.089,-1.5,0.3,-1.2,0.1
2024,NBA,Keita Bates-Diop,bateske01,28.0,BRK,SF,14,0.0,68.0,13.4,0.617,0.313,0.375,1.6,13.2,7.2,8.1,2.2,2.7,9.7,13.2,0.1,0.1,0.2,0.112,-1.3,1.5,0.2,0.0
2024,NBA,Nicolas Batum,batumni01,35.0,2TM,PF,60,38.0,1529.0,10.2,0.603,0.723,0.082,5.0,13.1,9.0,10.7,1.5,2.3,13.1,8.6,1.7,1.6,3.3,0.103,-1.3,0.8,-0.4,0.6
2024,NBA,Nicolas Batum,batumni01,35.0,LAC,PF,3,0.0,54.0,9.8,0.5,0.875,0.0,0.0,14.2,7.3,11.2,2.7,6.7,11.1,7.3,0.0,0.1,0.1,0.091,-1.5,4.4,2.8,0.1
2024,NBA,Nicolas Batum,batumni01,35.0,PHI,PF,57,38.0,1475.0,10.3,0.606,0.718,0.085,5.1,13.0,9.0,10.6,1.5,2.1,13.2,8.7,1.6,1.5,3.2,0.104,-1.3,0.7,-0.5,0.5
2024,NBA,Darius Bazley,bazleda01,23.0,2TM,PF,9,0.0,152.0,13.9,0.68,0.267,0.4,5.8,14.4,10.1,6.0,1.9,4.1,18.5,11.9,0.2,0.1,0.3,0.084,-0.9,0.5,-0.4,0.1
2024,NBA,Darius Bazley,bazleda01,23.0,PHI,PF,3,0.0,10.0,-1.6,0.0,0.0,0.0,0.0,11.2,5.5,23.2,0.0,0.0,50.0,8.6,0.0,0.0,0.0,-0.142,-7.7,-0.7,-8.4,0.0
2024,NBA,Darius Bazley,bazleda01,23.0,UTA,PF,6,0.0,142.0,14.9,0.7,0.276,0.414,6.3,14.6,10.5,4.7,2.0,4.4,17.0,12.2,0.2,0.1,0.3,0.1,-0.4,0.6,0.2,0.1
2024,NBA,Bradley Beal,bealbr01,30.0,PHO,SG,53,53.0,1767.0,16.3,0.607,0.32,0.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,0.107,0.9,-0.6,0.4,1.1
2024,NBA,Malik Beasley,beaslma01,27.0,MIL,SG,79,77.0,2337.0,10.3,0.603,0.751,0.048,2.0,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,0.073,-1.0,-0.8,-1.8,0.1
2024,NBA,MarJon Beauchamp,beaucma01,23.0,MIL,SF,48,1.0,608.0,9.7,0.592,0.452,0.169,4.1,13.6,8.9,6.7,1.0,1.0,13.2,14.6,0.2,0.5,0.7,0.056,-2.3,-0.9,-3.2,-0.2
2024,NBA,Jules Bernard,bernaju01,24.0,WAS,SG,19,0.0,149.0,12.7,0.544,0.453,0.141,7.0,11.8,9.3,15.4,0.9,0.5,10.5,21.5,0.0,0.0,0.1,0.026,-0.6,-2.5,-3.0,0.0
2024,NBA,Dāvis Bertāns,bertada01,31.0,2TM,PF,43,1.0,674.0,11.6,0.583,0.855,0.141,1.5,8.8,5.1,7.2,1.9,1.7,6.8,17.4,0.5,0.4,0.9,0.061,-0.8,-0.6,-1.4,0.1
2024,NBA,Dāvis Bertāns,bertada01,31.0,OKC,PF,15,0.0,91.0,17.3,0.675,0.923,0.577,2.5,9.4,6.1,12.2,1.6,3.1,3.0,16.0,0.3,0.1,0.4,0.229,3.2,0.8,4.0,0.1
2024,NBA,Dāvis Bertāns,bertada01,31.0,CHO,PF,28,1.0,583.0,10.7,0.57,0.846,0.087,1.3,8.7,4.9,6.5,1.9,1.4,7.3,17.7,0.2,0.3,0.4,0.034,-1.4,-0.8,-2.3,0.0
2024,NBA,Patrick Beverley,beverpa01,35.0,2TM,PG,73,13.0,1462.0,11.6,0.539,0.478,0.237,3.7,14.3,9.0,19.0,1.4,1.9,13.4,14.3,1.2,1.5,2.7,0.09,-1.5,0.5,-1.1,0.3
2024,NBA,Patrick Beverley,beverpa01,35.0,PHI,PG,47,5.0,919.0,11.7,0.547,0.452,0.261,3.5,14.1,8.7,21.0,1.3,1.8,15.4,14.9,0.7,0.9,1.7,0.087,-1.5,0.0,-1.5,0.1
2024,NBA,Patrick Beverley,beverpa01,35.0,MIL,PG,26,8.0,543.0,11.4,0.524,0.522,0.196,3.9,14.8,9.5,15.8,1.7,2.0,9.6,13.2,0.5,0.6,1.1,0.095,-1.6,1.2,-0.4,0.2
2024,NBA,Saddiq Bey,beysa01,24.0,ATL,SF,63,51.0,2062.0,13.1,0.549,0.514,0.291,8.5,13.4,10.9,6.0,1.2,0.5,6.4,17.0,2.8,0.7,3.5,0.081,0.1,-2.0,-1.8,0.1
2024,NBA,Goga Bitadze,bitadgo01,24.0,ORL,C,62,33.0,957.0,17.8,0.629,0.067,0.416,13.3,21.9,17.5,11.7,1.7,7.0,15.1,13.3,1.8,1.9,3.7,0.186,-0.7,2.8,2.1,1.0
2024,NBA,Onuralp Bitim,bitimon01,24.0,CHI,SG,23,1.0,268.0,5.0,0.464,0.524,0.06,2.5,11.1,6.7,6.5,0.6,0.8,10.4,15.8,-0.3,0.1,-0.1,-0.027,-5.4,-2.0,-7.4,-0.4
2024,NBA,Bismack Biyombo,biyombi01,31.0,2TM,C,40,27.0,791.0,9.9,0.562,0.0,0.412,8.3,21.1,14.5,9.5,0.7,4.4,21.3,10.7,0.1,1.0,1.1,0.066,-4.8,1.4,-3.4,-0.3
2024,NBA,Bismack Biyombo,biyombi01,31.0,MEM,C,30,27.0,718.0,10.0,0.56,0.0,0.387,8.3,21.3,14.5,10.1,0.7,4.4,21.4,10.6,0.1,0.9,1.0,0.066,-4.8,1.6,-3.2,-0.2
2024,NBA,Bismack Biyombo,biyombi01,31.0,OKC,C,10,0.0,73.0,8.9,0.58,0.0,0.667,7.9,19.1,13.7,3.3,0.7,3.8,20.5,11.6,0.0,0.1,0.1,0.066,-5.4,0.2,-5.2,-0.1
2024,NBA,Anthony Black,blackan01,20.0,ORL,PG,69,33.0,1164.0,8.4,0.56,0.381,0.324,3.3,10.8,7.0,10.6,1.5,1.7,16.6,12.7,0.1,1.5,1.6,0.067,-3.8,0.8,-3.0,-0.3
2024,NBA,Leaky Black,blackle01,24.0,CHO,SF,26,3.0,284.0,11.5,0.589,0.385,0.288,3.5,15.9,9.5,11.4,1.4,3.6,9.3,10.1,0.3,0.2,0.5,0.084,-2.6,0.3,-2.4,0.0
2024,NBA,Buddy Boeheim,boehebu01,24.0,DET,SF,10,0.0,84.0,9.1,0.509,0.862,0.345,3.9,9.5,6.6,4.8,0.0,1.0,0.0,17.0,0.1,0.0,0.1,0.047,-0.7,-2.8,-3.5,0.0
2024,NBA,Bogdan Bogdanović,bogdabo01,31.0,ATL,SG,79,33.0,2401.0,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1.0,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4
2024,NBA,Bojan Bogdanović,bogdabo02,34.0,2TM,PF,57,27.0,1478.0,12.6,0.581,0.49,0.219,1.6,10.0,5.7,10.3,1.0,0.3,11.9,24.6,0.3,0.7,1.1,0.034,-0.7,-2.5,-3.2,-0.4
2024,NBA,Bojan Bogdanović,bogdabo02,34.0,DET,PF,28,27.0,921.0,14.1,0.6,0.487,0.245,1.5,10.0,5.7,12.2,1.2,0.4,11.8,24.7,0.5,0.3,0.8,0.042,0.3,-2.5,-2.1,0.0
2024,NBA,Bojan Bogdanović,bogdabo02,34.0,NYK,SF,29,0.0,557.0,10.1,0.549,0.496,0.176,1.8,9.9,5.8,7.1,0.6,0.2,12.1,24.3,-0.2,0.4,0.2,0.021,-2.4,-2.5,-4.9,-0.4
2024,NBA,Bol Bol,bolbo01,24.0,PHO,PF,43,0.0,469.0,18.7,0.7,0.344,0.126,8.1,24.1,16.5,5.3,1.0,4.7,10.7,16.5,1.0,0.7,1.6,0.168,1.4,0.8,2.1,0.5
2024,NBA,Marques Bolden,boldema01,25.0,2TM,C,11,2.0,121.0,16.0,0.691,0.04,0.16,9.0,22.8,15.8,4.8,1.2,5.4,10.1,10.9,0.2,0.1,0.3,0.134,-2.1,-0.5,-2.7,0.0
2024,NBA,Marques Bolden,boldema01,25.0,MIL,C,2,0.0,3.0,3.0,,,,0.0,71.5,36.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.102,-7.8,2.3,-5.5,0.0
2024,NBA,Marques Bolden,boldema01,25.0,CHO,C,9,2.0,118.0,16.4,0.691,0.04,0.16,9.2,21.6,15.2,4.9,1.3,5.5,10.1,11.1,0.2,0.1,0.3,0.135,-2.0,-0.6,-2.6,0.0
2024,NBA,Devin Booker,bookede01,27.0,PHO,PG,68,68.0,2447.0,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,0.181,4.0,-1.0,3.0,3.1
2024,NBA,Brandon Boston Jr.,bostobr01,22.0,LAC,SF,32,0.0,345.0,8.7,0.476,0.323,0.205,6.4,10.4,8.5,5.4,1.6,2.1,12.0,25.4,-0.6,0.3,-0.3,-0.04,-6.2,-2.7,-9.0,-0.6
2024,NBA,Chris Boucher,bouchch01,31.0,TOR,PF,50,0.0,705.0,16.0,0.625,0.433,0.424,9.5,23.1,16.1,4.5,1.0,3.0,9.8,17.3,1.2,0.6,1.7,0.119,-0.3,-1.4,-1.7,0.1
2024,NBA,James Bouknight,bouknja01,23.0,CHO,SG,14,0.0,81.0,15.9,0.597,0.732,0.049,1.3,11.4,6.2,12.2,0.6,1.2,4.6,23.9,0.1,0.0,0.1,0.062,4.4,-2.2,2.2,0.1
2024,NBA,Jamaree Bouyea,bouyeja01,24.0,2TM,PG,9,0.0,95.0,1.5,0.375,0.321,0.0,3.4,19.2,11.0,15.9,0.5,0.0,24.3,16.5,-0.3,0.1,-0.3,-0.129,-10.2,-2.0,-12.3,-0.2
2024,NBA,Jamaree Bouyea,bouyeja01,24.0,POR,PG,6,0.0,57.0,-4.8,0.238,0.381,0.0,3.7,16.7,9.8,19.4,0.0,0.0,27.6,21.6,-0.4,0.0,-0.4,-0.299,-13.0,-4.8,-17.8,-0.2
2024,NBA,Jamaree Bouyea,bouyeja01,24.0,SAS,PG,3,0.0,38.0,11.1,0.786,0.143,0.0,2.8,23.0,12.8,10.7,1.2,0.0,12.5,8.9,0.1,0.0,0.1,0.126,-6.1,2.2,-3.9,0.0
2024,NBA,Malaki Branham,branhma01,20.0,SAS,PG,75,29.0,1594.0,8.7,0.526,0.427,0.1,1.9,8.2,5.0,14.0,0.8,0.4,12.2,19.8,-0.9,0.6,-0.3,-0.008,-3.4,-2.2,-5.6,-1.5
2024,NBA,Christian Braun,braunch01,22.0,DEN,SG,82,4.0,1655.0,12.1,0.554,0.34,0.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,1.5,2.0,3.4,0.1,-1.7,-0.2,-1.9,0.0
2024,NBA,Mikal Bridges,bridgmi01,27.0,BRK,SF,82,82.0,2854.0,14.9,0.56,0.457,0.245,2.5,12.0,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2
2024,NBA,Miles Bridges,bridgmi02,25.0,CHO,SF,69,67.0,2581.0,15.4,0.556,0.372,0.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6
2024,NBA,Oshae Brissett,brissos01,25.0,BOS,SF,55,1.0,630.0,12.8,0.53,0.359,0.542,10.9,16.3,13.7,8.7,1.5,1.1,9.5,14.5,0.8,0.9,1.7,0.131,-2.0,0.2,-1.8,0.0
2024,NBA,Izaiah Brockington,brockiz01,24.0,NOP,PG,1,0.0,3.0,26.6,0.4,0.2,0.0,37.6,36.7,37.1,0.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,-0.177,-9.2,-8.5,-17.8,0.0
2024,NBA,Malcolm Brogdon,brogdma01,31.0,POR,PG,39,25.0,1121.0,17.0,0.56,0.401,0.234,2.6,12.8,7.4,30.9,1.2,0.6,9.9,23.0,2.0,0.6,2.6,0.111,2.7,-0.7,2.0,1.1
2024,NBA,Armoni Brooks,brookar01,25.0,BRK,PG,10,0.0,104.0,8.3,0.448,0.696,0.043,7.2,11.9,9.5,6.9,0.5,0.9,6.0,20.8,-0.1,0.1,0.0,-0.018,-2.2,-3.7,-5.8,-0.1
2024,NBA,Dillon Brooks,brookdi01,28.0,HOU,SF,72,72.0,2227.0,9.4,0.549,0.482,0.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,0.6,2.1,2.7,0.058,-3.3,-0.3,-3.6,-0.9
2024,NBA,Bruce Brown,brownbr01,27.0,2TM,SG,67,44.0,1866.0,11.6,0.563,0.282,0.244,3.1,14.0,8.5,13.2,1.5,0.8,11.8,16.5,1.2,1.0,2.2,0.058,-2.4,-1.0,-3.3,-0.6
2024,NBA,Bruce Brown,brownbr01,27.0,IND,SG,33,33.0,981.0,12.2,0.568,0.322,0.261,2.9,14.9,8.9,12.3,1.7,0.6,10.5,16.7,0.9,0.6,1.5,0.074,-1.7,-0.5,-2.3,-0.1
2024,NBA,Bruce Brown,brownbr01,27.0,TOR,PG,34,11.0,885.0,10.9,0.557,0.235,0.224,3.4,12.9,8.1,14.3,1.3,0.9,13.3,16.4,0.3,0.4,0.7,0.04,-3.1,-1.4,-4.5,-0.5
2024,NBA,Charlie Brown Jr.,brownch02,26.0,NYK,SG,8,0.0,37.0,-3.2,0.3,0.7,0.0,3.0,3.0,3.0,0.0,0.0,5.1,16.7,14.0,-0.1,0.0,-0.1,-0.124,-10.2,-3.4,-13.6,-0.1
2024,NBA,Greg Brown III,browngr01,22.0,DAL,PF,6,0.0,40.0,10.5,0.501,0.273,0.818,8.2,16.3,12.3,13.0,0.0,8.8,21.1,20.3,0.0,0.0,0.0,0.0,-5.0,0.6,-4.4,0.0
2024,NBA,Jaylen Brown,brownja02,27.0,BOS,SF,70,70.0,2343.0,18.6,0.58,0.326,0.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,0.121,0.9,-0.1,0.7,1.6
2024,NBA,Kendall Brown,brownke03,20.0,IND,SG,15,0.0,63.0,7.6,0.567,0.133,0.533,5.4,3.6,4.5,9.3,0.0,0.0,9.7,13.7,0.1,0.0,0.1,0.045,-4.2,-2.6,-6.8,-0.1
2024,NBA,Kobe Brown,brownko01,24.0,LAC,PF,44,0.0,394.0,7.6,0.49,0.533,0.022,5.9,11.6,8.9,8.1,1.5,1.4,9.0,11.1,0.1,0.3,0.5,0.055,-4.0,0.2,-3.8,-0.2
2024,NBA,Moses Brown,brownmo01,24.0,POR,C,22,5.0,200.0,14.5,0.477,0.0,0.477,19.6,29.2,24.1,5.4,1.2,3.2,12.3,19.1,-0.1,0.2,0.2,0.044,-4.1,-2.4,-6.5,-0.2
2024,NBA,Troy Brown Jr.,browntr01,24.0,2TM,SF,59,15.0,827.0,8.8,0.51,0.624,0.164,3.5,16.0,9.8,9.7,1.4,0.3,11.0,14.3,0.0,0.9,0.8,0.048,-2.8,0.2,-2.6,-0.1
2024,NBA,Troy Brown Jr.,browntr01,24.0,MIN,SF,37,3.0,410.0,11.6,0.603,0.712,0.186,4.1,15.4,10.0,11.7,1.0,0.4,12.4,15.7,0.4,0.6,1.0,0.118,-0.2,0.5,0.4,0.2
2024,NBA,Troy Brown Jr.,browntr01,24.0,DET,SF,22,12.0,417.0,5.9,0.406,0.528,0.139,2.9,16.6,9.6,7.8,1.8,0.2,9.5,12.9,-0.5,0.3,-0.2,-0.021,-5.3,-0.2,-5.5,-0.4
